CompanyId,AsOfDate,SegmentName,SegmentDescription,SubIndustry
4C3C2P4MMH,2024-12-31,International segment,International segment consists of certain business operations conducted outside the U.S.,1022001003
ZGAAGSH6GY,2024-12-31,Ferry Operations and Other,Ferry Operations and Other comprised primarily of the Company’s ferry operations and various other operations that are ancillary to its properties in Macao.,3108004001
XMNGR5ZI5U,2024-12-31,Air Transport,"Air Transport segment corresponds to the route network for air transport and is based on the way in which the business is managed, according to the centralized nature of its operations, the ability to open and close routes, as well as reassignment (airplanes, crew, personnel, etc.) within the network, which implies a functional interrelation between all of them, making them inseparable.",3108002001
47FT6ZVQ2I,2024-11-30,Financial Services,"Financial Services segment include mortgage financing, title and closing services primarily for buyers of the Company’s homes. They also include originating and selling into securitizations commercial mortgage loans through its LMF Commercial business.",1032003001
47FT6ZVQ2I,2024-11-30,Homebuilding,"Homebuilding segment primarily include the construction and sale of single-family attached and detached homes, as well as the purchase, development and sale of residential land directly and through the Company’s unconsolidated entities.",1023001001
47FT6ZVQ2I,2024-11-30,Lennar Other,"Lennar Other segment primarily includes strategic investments in technology companies, primarily managed by the Company's LENX subsidiary, and fund interests the Company retained when it sold the Rialto Capital Management (Rialto) asset and investment management platform.",1031001002
47FT6ZVQ2I,2024-11-30,Multifamily,"Multifamily segment is actively involved, primarily through unconsolidated funds and joint ventures, in the development, construction and property management of multifamily rental properties. The Multifamily segment focuses on developing a geographically diversified portfolio of institutional quality multifamily rental properties in select U.S. markets.",1023001001
LCF24DOWYK,2024-12-31,Core Lattice business,"Core Lattice business segment includes silicon-based and silicon-enabling products, evaluation boards, development hardware, and related intellectual property licensing, services, and sales.",3113002001
NXPYACJWFB,2024-12-31,Insurance,"Insurance segment is comprised of Signature Insurance Company (Signature), a wholly owned offshore insurance subsidiary, and Risk Management Claim Services, Inc. The insurance segment provides risk and claims management services to certain of Landstar’s operating subsidiaries.",1034002001
NXPYACJWFB,2024-12-31,Transportation Logistics,"Transportation Logistics segment provides a wide range of integrated transportation management solutions. Transportation services offered by the Company include truckload, less-than-truckload and other truck transportation, rail intermodal, air cargo, ocean cargo, expedited ground and air delivery of time-critical freight, heavy-haul/specialized, U.S.-Canada and U.S.-Mexico cross-border, intra-Mexico, intra-Canada, project cargo and customs brokerage.",3108006002
I33Y435FTS,2024-12-31,Infrastructure Solutions,"Infrastructure Solutions segment consists of the Precast Concrete Products and Steel Products business units. The Precast Concrete Products business unit produces precast concrete buildings and a variety of specialty precast concrete products for use in several infrastructure end markets, including transportation, energy, and general infrastructure. The precast concrete buildings are primarily used as restrooms, concession stands, and protective storage buildings in national, state, and municipal parks, etc.",1012001002
I33Y435FTS,2024-12-31,"Rail, Technologies, and Services","Rail, Technologies, and Services segment consists of the Rail Products, Global Friction Management, and Technology Services and Solutions business units, which was evaluated based on the factors outlined above. The Rail reporting segment engineers, manufactures, and assembles friction management products and railway wayside data collection, application systems, railroad condition monitoring systems and equipment, wheel impact load detection systems, management systems, and provides services for these products.",3108003003
XJXIF5EYMM,2024-12-31,E-Systems,"E-Systems segment consists of the design, development, engineering and manufacture of complete electrical distribution and connection systems; high-voltage power distribution products, including battery disconnect units (BDUs); and low-voltage power distribution products and electronic controllers.",3107006099
XJXIF5EYMM,2024-12-31,Seating,"Seating segment consists of the design, development, engineering and manufacture of complete seat systems and key seat components.",1020003003
SUSN7DWR3R,2024-08-31,Infrastructure,"Infrastructure segment includes the manufacture and marketing of moveable barriers, specialty barriers and crash cushions, road marking and road safety equipment, and railroad signals and structures. The infrastructure segment also offers technology to monitor critical safety infrastructure on roadways. The principal infrastructure manufacturing facilities are located in Rio Vista, California; Milan, Italy; and Lindsay, Nebraska.",3104003099
SUSN7DWR3R,2024-08-31,Irrigation,"Irrigation segment includes the manufacture and marketing of center pivot, lateral move, and hose reel irrigation systems which are used principally in the agricultural industry to increase or stabilize crop production while conserving water, energy and labor.",3105001005
JH3OQ32ZX5,2024-03-31,Media Networks,"Media Networks consists of the following product lines (i) Starz Networks, which includes the domestic distribution of STARZ branded premium subscription video services through OTT platforms, on a direct-to-consumer basis through the Starz App, and through Distributors (ii) LIONSGATE+, which represents revenues primarily from the OTT distribution of the Company's STARZ branded premium subscription video services outside of the U.S.",3082004007
JH3OQ32ZX5,2024-03-31,Motion Picture,"Motion Picture segment consists of the development and production of feature films, acquisition of North American and worldwide distribution rights, North American theatrical, home entertainment and television distribution of feature films produced and acquired, and worldwide licensing of distribution rights to feature films produced and acquired.",3082004001
JH3OQ32ZX5,2024-03-31,Television Production,"Television Production consists of the development, production and worldwide distribution of television productions including television series, television movies and mini-series, and non-fiction programming. Television Production includes the licensing of Starz original series productions to Starz Networks and LIONSGATE+, and the ancillary market distribution of Starz original productions and licensed product.",3082004001
VKI75ALYAE,2024-12-31,Electronics,"Electronics Consists of one of the broadest product offerings in the industry, including fuses and fuse accessories, positive temperature coefficient (PTC) resettable fuses, electromechanical switches and interconnect solutions, polymer electrostatic discharge (ESD) suppressors, varistors, reed switch based magnetic sensing, gas discharge tubes; semiconductor products such as discrete transient voltage suppressor (TVS) diodes, TVS diode arrays, protection and switching thyristors, etc.",3112004001
VKI75ALYAE,2024-12-31,Industrial,"Industrial Consists of industrial circuit protection (industrial fuses), protective and monitoring relays (protection relays, residual current devices and monitors, ground fault circuit interrupters, solid state switches, and arc fault detection devices), and industrial controls and sensors (contactors, transformers, and temperature sensors) for use in various applications such as renewable energy and energy storage systems, industrial safety, factory automation, electric vehicle infrastructure, etc.",3112004001
VKI75ALYAE,2024-12-31,Transportation,"Transportation Consists of a wide range of circuit protection, power control and sensing technologies for global original equipment manufacturers (OEMs), Tier-one suppliers and parts and aftermarket distributors in passenger vehicles, heavy-duty truck and bus, off-road and recreational vehicles, material handling equipment, agricultural machinery, construction equipment and other commercial vehicle end markets.",3112004001
YOCUCNGDCI,2024-12-31,Canada Branch Division,"Canada Branch Division segment combines the operations of Bolt and Source Atlantic subsidiaries, which distribute industrial MRO supplies, safety products, fasteners, power tools and related value-add services to the Canadian MRO market through the sale of products and services via warehouse shipments and to its walk-up customers through 38 branch locations.",3106001001
YOCUCNGDCI,2024-12-31,Gexpro Services,"Gexpro Services segment is a global supply chain solutions provider, specializing in the development of mission critical production line management, aftermarket and field installation programs.",3106001001
YOCUCNGDCI,2024-12-31,Lawson,"Lawson segment is a distributor of specialty products and services to the industrial, commercial, institutional and governmental MRO marketplace. Lawson primarily distributes MRO products to its customers through a network of sales representatives and an inside sales channel throughout the United States and Canada.",3106001001
YOCUCNGDCI,2024-12-31,TestEquity,"TestEquity is a distributor of test and measurement equipment and solutions, industrial and electronic production supplies, vendor managed inventory programs, and converting, fabrication and adhesive solutions from its leading manufacturer partners supporting the aerospace and defense, wireless and communication, semiconductors, industrial electronics and automotive, and electronics manufacturing industries.",3106001001
5PCPYZBW4D,2024-12-31,Single Segment,"LXP Industrial Trust operates in one operating segment, focused on single-tenant real estate assets.",1042003001
R26H3AYDXC,2024-12-31,Bedding Products,"Bedding Products segment supplies a variety of components and machinery used by bedding manufacturers in the production and assembly of their finished products, as well as produces private label finished mattresses and adjustable bed bases. This segment is also vertically integrated into the production and supply of specialty foam chemicals, steel rod, and drawn steel wire to own operations and to external customers. They also supply steel rod and wire to trade customers that operate in a broad range of markets.",1022001004
R26H3AYDXC,2024-12-31,"Furniture, Flooring & Textile Products","Furniture, Flooring & Textile Products segment supply a wide range of components for residential and work furniture manufacturers, as well as select lines of private label finished furniture. They also produce or distribute carpet cushion, hard surface flooring underlayment, and textile and geo components.",1022001006
R26H3AYDXC,2024-12-31,Specialized Products,"Specialized Products segment supply lumbar support systems, seat suspension systems, motors and actuators, and control cables used by automotive manufacturers. they also produce and distribute tubing and tube assemblies for the aerospace industry and engineered hydraulic cylinders used in the material-handling and heavy construction industries.",1020003003
MERU2LMPYH,2024-12-31,Americas Welding,Americas Welding segment includes welding operations in North and South America.,3107005001
MERU2LMPYH,2024-12-31,International Welding,"International Welding segment includes welding operations in Europe, Africa, Asia and Australia.",3107005001
MERU2LMPYH,2024-12-31,The Harris Products Group,"The Harris Products Group includes the Company’s global cutting, soldering and brazing businesses, specialty gas equipment, as well as its retail business in the United States.",3107005001
VK7J3WWJRH,2022-12-31,Sponsorship & Advertising,"Sponsorship & Advertising segment manages the development of strategic sponsorship programs in addition to the sale of international, national and local sponsorships and placement of advertising such as signage, promotional programs, rich media offerings, including advertising associated with live streaming and music-related content, and ads across distribution network of venues, events and websites.",3082001001
VK7J3WWJRH,2022-12-31,Ticketing,"Ticketing segment involves the management of global ticketing operations, including providing ticketing software and services to clients, and consumers with a marketplace, both online and mobile, for tickets and event information, and is responsible for our primary ticketing website, www.ticketmaster.com.",3082004002
VK7J3WWJRH,2022-12-31,Concerts,"Concerts segment principally involves the global promotion of live music events in owned or operated venues and in rented third-party venues, the operation and management of music venues, the production of music festivals across the world, the creation of associated content and the provision of management and other services to artists.",3082004001
DILLP3AXTT,2024-12-31,Louisiana-Pacific South America (LPSA),"Louisiana-Pacific South America (LPSA) segment manufactures and distributes OSB structural panel and Siding Solutions products in South America and certain export markets. This segment also sells and distributes a variety of companion products to support the region’s transition to wood frame construction. The LPSA segment carries out manufacturing operations in Chile and Brazil and operates sales offices in Argentina, Brazil, Chile, Colombia, Mexico, Paraguay, and Peru.",3104003099
DILLP3AXTT,2024-12-31,Oriented Strand Board (OSB),"Oriented Strand Board (OSB) segment manufactures and distributes OSB structural panel products, including the innovative value-added OSB product portfolio known as LP Structural Solutions (which includes LP TechShield Radiant Barrier, LP WeatherLogic Air & Water Barrier, LP Legacy Premium Sub-Flooring, LP NovaCore Thermal Insulated Sheathing, LP FlameBlock Fire-Rated Sheathing, and LP TopNotch 350 Durable Sub-Flooring).",3104003099
DILLP3AXTT,2024-12-31,Other,"Other segment includes stock compensation, income (loss) non-controlling interest and income from equity in unconsolidated affiliates.",3104003099
DILLP3AXTT,2024-12-31,Siding,"Siding segment serves diverse end markets with a broad product portfolio of engineered wood siding, trim, soffit, and fascia, including LP SmartSide Trim & Siding, LP SmartSide ExpertFinish Trim & Siding, LP BuilderSeries Lap Siding, and LP Outdoor Building Solutions (collectively referred to as Siding Solutions).",3104003099
Y6FJ3VIHU7,2024-12-31,Campus Operations,Campus Operations segment includes campuses that are continuing in operation and contribute to the Company’s core operations and performance. All of the campuses continuing in operation are classified in this segment. The majority of the campuses offer programs across various areas of study.,2054001001
OXCTC5B5KV,2024-12-31,Consumer Products,"Consumer Products Division’s goal is to democratise the best that the world of beauty has to offer. The Division is underpinned by four major global brands (L’Oreal Paris, Garnier, Maybelline New York and NYX Professional Makeup), and by the deployment of its specialised and regional brands (Stylenanda, Essie, Mixa, etc.).",2052503002
Y6FJ3VIHU7,2024-12-31,Transitional,"Transitional segment refers to campuses that are marked for closure and are currently being taught-out, in addition to campuses that are held-for-sale or sold.",2054001001
OXCTC5B5KV,2024-12-31,Dermatological Beauty,"Dermatological Beauty segment provides sustainable and life-changing dermatological solutions. Its portfolio of highly complementary brands (La RochePosay, CeraVe, Vichy, SkinCeuticals, Skinbetter Science, etc.) is designed to keep pace with major skincare trends and recommendations of healthcare professionals.",2052503002
CP3L67VHCL,2024-06-30,Display,"Display manufactures, sells and installs exterior and interior visual image and display elements, including printed graphics, structural graphics, digital signage, menu board systems, display fixtures, refrigerated displays, and custom display elements. These products are used in visual image programs in several markets including the refueling and convenience store markets, parking lot and garage markets, quick-service restaurant market, retail and grocery store markets, automotive market, etc.",3112004001
CP3L67VHCL,2024-06-30,Lighting,"Lighting includes non-residential outdoor and indoor lighting fixtures utilizing LED light sources that have been fabricated and assembled for the Company’s markets, primarily the refueling and convenience store markets, parking lot and garage markets, quick-service restaurant market, retail and grocery store markets, the automotive market, the warehouse market, and the sports court and field market.",3112004001
OXCTC5B5KV,2024-12-31,L'Oreal Luxe,"L'Oreal Luxe Division creates the best in luxury beauty via breakthrough innovations, meaningful commitments and memorable experiences.",2052503002
OXCTC5B5KV,2024-12-31,Professional Products,"Professional Products Division aims to offer professional beauty to all. For over 100 years, this Division has acquired extensive knowledge of, and provided tailored support solutions for, the hairdressing sector. It has built up a unique brand portfolio which currently includes L’Oreal Professionnel, Kerastase, Redken, Matrix and PureOlogy.",2052503002
FJZPG52BMZ,2024-12-31,Retirement Plan Services,"Retirement Plan Services segment provides employer-sponsored defined benefit and individual retirement accounts, as well as individual and group variable annuities, group fixed annuities and mutual-fund based programs in the retirement plan marketplace.",1034001001
FJZPG52BMZ,2024-12-31,Annuities,Annuities segment provides tax-deferred investment growth and lifetime income opportunities for its clients by offering variable annuities (including RILA) and fixed annuities (including indexed).,1034001001
FJZPG52BMZ,2024-12-31,Group Protection,"Group Protection segment offers group non-medical insurance products and services, including short- and long-term disability, statutory disability and paid family medical leave administration and absence management services, term life, dental, vision and accident, critical illness and hospital indemnity benefits and services to the employer marketplace through various forms of employee-paid and employer-paid plans.",1034001001
FJZPG52BMZ,2024-12-31,Life Insurance,"Life Insurance segment focuses on the creation and protection of wealth through life insurance products, including term insurance, both single (including UL, corporate-owned UL and VUL and bank-owned UL and VUL products) and survivorship versions of IUL and VUL products, linked-benefit products (which are UL and VUL with riders providing for long-term care costs), and critical illness and long-term care riders, which can be attached to IUL or VUL policies.",1034001001
FJZPG52BMZ,2024-12-31,Other Operations,"Other Operations includes investments related to the excess capital in their insurance subsidiaries; benefit plan obligations; the results of certain disability income business; run-off institutional pension business, the majority of which was sold on a group annuity basis; debt costs; Spark program expense; and other corporate investments.",1034001001
CCPDEVUZC2,2024-12-31,Vehicle Operations,"Vehicle Operations segment consists of all aspects of its auto merchandising and service operations, excluding financing provided by its Financing Operations.",1020001001
EBUFE3YITX,2024-12-31,Commercial Bank,"Commercial Bank segment provides a wide range of credit products and banking services to middle-market and large commercial customers, mainly within the markets served by the Company. Services provided by this segment include commercial lending and leasing, credit facilities which are secured by various types of commercial real estate, letters of credit, deposit products and cash management services.",1032002002
EBUFE3YITX,2024-12-31,Institutional Services and Wealth Management,"Institutional Services and Wealth Management segment provides a variety of trustee, agency, investment management and administrative services for corporations and institutions, investment bankers, corporate tax, finance and legal executives, and other institutional clients, as well as personal trust, planning, fiduciary, asset management, family office and other services designed to help high net worth individuals and families grow, preserve and transfer wealth.",1031001002
EAIVCMQFEV,2024-12-31,Northern homebuilding,"Northern homebuilding segment comprises Chicago, Illinois Cincinnati, Ohio Columbus, Ohio Indianapolis, Indiana Minneapolis/St. Paul, Minnesota Detroit, Michigan.",1023001001
EAIVCMQFEV,2024-12-31,Southern homebuilding,"Southern homebuilding segment comprises Orlando, Florida Sarasota, Florida Tampa, Florida Fort Myers/Naples, Florida Austin, Texas Dallas/Fort Worth, Texas Houston, Texas San Antonio, Texas Charlotte, North Carolina Raleigh, North Carolina Nashville, Tennessee.",1023001001
BWQNBP57Q6,2024-12-31,Aeronautics,"Aeronautics segment is engaged in the research, design, development, manufacture, integration, sustainment, support and upgrade of advanced military aircraft, including combat and air mobility aircraft, unmanned air vehicles and related technologies.",3101001005
Y6ZPBYEDDJ,2023-12-31,Commercial banking,"Commercial banking provides a broad range of financial services to individuals and companies in western Michigan. These services include demand, time and savings deposits; lending; ATM and debit card processing; cash management; and trust and brokerage services.",1032002002
BWQNBP57Q6,2024-12-31,Missiles and Fire Control,"Missiles and Fire Control segment provides air and missile defense systems; tactical missiles and precision strike weapon systems; logistics; fire control systems; mission operations support, readiness, engineering support and integration services; ground vehicles; and energy management solutions.",3101001001
BWQNBP57Q6,2024-12-31,Rotary and Mission Systems,"Rotary and Mission Systems segment designs, manufactures, services and supports various military and commercial helicopters, sea- and land-based missile defense systems, radar systems, laser systems, sea- and air-based mission and combat systems, command and control mission solutions, cyber solutions, simulation and training solutions, and services and supports surface ships.",3101001005
BWQNBP57Q6,2024-12-31,Space,"Space segment is engaged in the research and design, development, engineering and production of satellites, space transportation systems, and strategic, advanced strike, and defensive systems. Space provides network-enabled situational awareness and integrates complex space and ground global systems to help customers gather, analyze and securely distribute critical intelligence data. Space is also responsible for various classified systems and services in support of vital national security systems.",3101001005
EAIVCMQFEV,2024-12-31,Financial services,Financial services operations support homebuilding operations by providing mortgage loans and title services to the customers of homebuilding operations and are reported as an independent segment.,1032003001
EBUFE3YITX,2024-12-31,Retail Bank,"Retail Bank segment provides a wide range of services to consumers and small businesses through the Company’s branch network and several other delivery channels such as telephone banking, internet banking and automated teller machines. The Company has branch offices in New York State, Maryland, New Jersey, Pennsylvania, Delaware, Connecticut, Massachusetts, Maine, Vermont, New Hampshire, Virginia, West Virginia and the District of Columbia.",1032002001
QIC2U7ZTYP,2023-12-31,Upstream,"Upstream segment is organized and operates to produce, gather and deliver natural gas and to acquire and develop natural gas assets.",3091002002
QIC2U7ZTYP,2023-12-31,Midstream,"Midstream segment is organized to develop, construct and operate LNG terminals and pipelines.",3091004002
QIC2U7ZTYP,2023-12-31,Marketing & Trading,"Marketing & Trading segment is organized and operates to purchase and sell natural gas produced primarily by the Upstream segment, market the Driftwood terminal’s LNG production capacity and trade LNG.",3091005002
YMJ4DPODQL,2024-12-31,Body Exteriors & Structures,"Body Exteriors & Structures segment includes the body and chassis systems, and exterior systems operations.",1020003003
YMJ4DPODQL,2024-12-31,Complete Vehicles,Complete Vehicles comprises the global complete vehicle engineering and manufacturing operations.,1020003003
YMJ4DPODQL,2024-12-31,Power & Vision,"Power & Vision segment comprises the global powertrain systems, electronics systems and mechatronics, mirrors & lighting, and roof systems operations.",1020003003
YMJ4DPODQL,2024-12-31,Seating Systems,Seating Systems segment comprises the global seating systems operations.,1020003003
2FAYUPU67Y,2024-12-31,Electronic Instruments,"Electronic Instruments segment is operated through a wholly owned subsidiary, PTF, a globally positioned producer of industrial electronic instruments and commercial products and services. Founded in 2002, PTF operates from a design and manufacturing facility in Wakefield, Massachusetts.",3112004001
2FAYUPU67Y,2024-12-31,Merchant Investment,"Merchant Investment segment is comprised of various investment vehicles in which they have a shareholder, partner, or general partner interest, and through which LGL Group invests its capital. As the Company continues to assess further acquisitions of, or investments in, operating businesses broadly, they seek to invest currently available cash and cash equivalents to enhance returns.",1031001002
QWDSOLVFDE,2024-09-30,Retail Operations,"Retail Operations segment includes the sale of new and used recreational boats, including pleasure and fishing boats, with a focus on premium brands in each segment. The company also sell related marine products, including engines, trailers, parts, and accessories. In addition, they provide repair, maintenance, and slip and storage rentals; arrange related boat financing, insurance, and extended service contracts; offer boat and yacht brokerage sales; and offer yacht charter services.",1028006099
QWDSOLVFDE,2024-09-30,Product Manufacturing,"Product Manufacturing segment includes activity of Cruisers Yachts and Intrepid Powerboats. Cruisers Yachts, a wholly owned MarineMax subsidiary, manufacturing sport yacht and yachts with sales through select retail dealership locations and through independent dealers. Cruisers Yachts is recognized as one of the world’s premier manufacturers of premium sport yacht and yachts, producing models from 33 to 60 feet.",1020004002
CBXGXVEVFJ,2024-12-31,Software services,Software services include proprietary and non-proprietary software technology and complementary services.,3111002005
CBXGXVEVFJ,2024-12-31,Information Technology (IT) professional services,"Information Technology (IT) professional services offers advanced and flexible IT services in the areas of infrastructure design and delivery, application development, technology planning and implementation services, communications services and solutions, as well as supplemental outsourcing services.",3111001003
2AVXT647XY,2021-01-31,Networking,"Networking products are comprised primarily of ethernet solutions, embedded processors, custom application-specific integrated circuits (ASICs), and electro-optics solutions.",3113002001
2AVXT647XY,2021-01-31,Storage,Storage products are comprised primarily of storage controllers and fibre channel adapters.,3113002001
4DDRMVDN3W,2024-12-31,Consulting,Consulting segment comprising Mercer and Oliver Wyman Group.,3102002001
4DDRMVDN3W,2024-12-31,Risk and Insurance Services,Risk and Insurance Services segment comprises insurance services (Marsh) and reinsurance services (Guy Carpenter).,1034005001
RIR5ZS4FF5,2024-06-30,Process and Industrial Facilities,"Process and Industrial Facilities segment primarily consists of plant maintenance, repair, and turnarounds in the downstream and midstream markets for energy clients including refining and processing of crude oil, fractionating, and marketing of natural gas and natural gas liquids. It also performs engineering, procurement, fabrication, and construction for refinery upgrades and retrofits for renewable fuels, including hydrogen processing, production, loading and distribution facilities.",3104001099
2AVXT647XY,2021-01-31,Other,Other products are comprised primarily of printer solutions.,3112002001
RIR5ZS4FF5,2024-06-30,Utility and Power Infrastructure,"Utility and Power Infrastructure segment primarily consists of engineering, procurement, fabrication, and construction services to support growing demand for LNG utility peak shaving facilities. It also performs traditional electrical work for public and private utilities, including construction of new substations, upgrades of existing substations, transmission and distribution line installations, and upgrades and maintenance including live wire work.",3104001099
KTOCKQ4ZTY,2024-12-31,Hotels/Resorts,"Hotels/Resorts segment Owns and operates full service hotels and resorts in Wisconsin, Illinois and Nebraska and manages full service hotels, resorts and other properties in Wisconsin, Illinois, Minnesota, Iowa, Nevada, Pennsylvania, California and Nebraska.",1029003001
KTOCKQ4ZTY,2024-12-31,Theatres,"Theatres segment Operates multiscreen motion picture theatres in Wisconsin, Illinois, Iowa, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Arkansas, Colorado, Georgia, Kentucky, Louisiana, New York, Pennsylvania, Texas and Virginia and a family entertainment center in Wisconsin.",3082004002
RIR5ZS4FF5,2024-06-30,Storage and Terminal Solutions,"Storage and Terminal Solutions segment primarily consists of engineering, procurement, fabrication, and construction services related to cryogenic and other specialty tanks and terminals for LNG, NGLs, hydrogen, ammonia, propane, butane, liquid nitrogen/liquid oxygen, and liquid petroleum. It also performs work related to traditional aboveground crude oil and refined product storage tanks and terminals.",3104001099
CFQMCDPGQ6,2024-12-31,Insurance,Insurance segment includes all direct business and facultative reinsurance placements written on a risk-bearing basis within the Company's underwriting operations.,1034002001
CFQMCDPGQ6,2024-12-31,Investing,Investing includes all investing activities related to the Company's insurance operations.,1034004099
CFQMCDPGQ6,2024-12-31,Markel Ventures,Markel Ventures segment primarily consists of controlling interests in a diverse portfolio of businesses that operate in various industries.,1031001002
CFQMCDPGQ6,2024-12-31,Other insurance operations,"Other insurance operations insurance operations primarily consist of the results of the Company's program services and other fronting business and insurance-linked securities operations. Other insurance operations also include results for lines of business discontinued prior to, or in conjunction with, acquisitions, including development on asbestos and environmental loss reserves and results attributable to the run-off of life and annuity reinsurance business.",1034004099
CFQMCDPGQ6,2024-12-31,Reinsurance,Reinsurance segment includes all treaty reinsurance written on a risk-bearing basis within the Company's underwriting operations.,1034003001
AJMHEAQRPL,2024-09-30,Industrial Technologies,"Industrial Technologies segment includes the design, manufacturing, service and sales of high-tech custom energy storage solutions; product identification and warehouse automation technologies and solutions, including order fulfillment systems for identifying, tracking, picking and conveying consumer and industrial products; and coating and converting lines for the packaging, pharma, foil, decor and tissue industries.",3107002098
AJMHEAQRPL,2024-09-30,Memorialization,"Memorialization segment consists primarily of bronze and granite memorials and other memorialization products, caskets, cremation-related products, and cremation and incineration equipment primarily for the cemetery and funeral home industries.",1026001002
AJMHEAQRPL,2024-09-30,Brand Solutions,"Brand Solutions segment consists of brand management, pre-media services, printing plates and cylinders, imaging services, digital asset management, merchandising display systems, and marketing and design services primarily for the consumer goods and retail industries.",3103001001
AFQX5YFWH7,2024-12-31,Brokerage,"Brokerage segment develops contractual relationships with and arranges for third-party carriers to transport freight for the customers in temperature-controlled trailers and dry vans within the United States and into and out of Mexico through Marten Transport Logistics, LLC, which was established in 2007 and operates pursuant to brokerage authority granted by the United States Department of Transportation, or DOT. They retain the billing, collection and customer management responsibilities.",3108006002
AFQX5YFWH7,2024-12-31,Intermodal,"Intermodal segment transports the customers’ freight within the United States utilizing the refrigerated containers on railroad flatcars for portions of trips, with the balance of the trips using the tractors or, to a lesser extent, contracted carriers. The main factors that affect the Intermodal revenue are the rate per mile and other charges they receive from their customers.",3108005001
AFQX5YFWH7,2024-12-31,Dedicated,"Dedicated segment provides customized transportation solutions tailored to meet individual customers’ requirements, utilizing temperature-controlled trailers, dry vans and other specialized equipment within the United States. The agreements with customers range from three to five years and are subject to annual rate reviews.",3108005001
AFQX5YFWH7,2024-12-31,Truckload,"Truckload segment provides a combination of regional short-haul and medium-to-long-haul full-load transportation services. They transport food and other consumer packaged goods that require a temperature-controlled or insulated environment, along with dry freight, across the United States and into and out of Mexico and Canada. The agreements with customers are typically for one year.",3108005001
U3EB65WVC6,2024-12-31,"Proprietary nutritional supplements, skin care and anti-aging products, and weight-management and","Mannatech Inc is the company's sole reporting segment, where they sell proprietary nutritional supplements, skin care and anti-aging products, and weight-management and fitness products, operating in twenty-five markets. The Company sells its products in most markets through network marketing distribution channels. Mannatech’s subsidiary in China, Meitai, operates under a cross-border e-commerce model, where consumers in China can buy Mannatech products directly from Meitai via the internet.",2052504002
T3S223NJX7,2023-12-31,American Girl,"American Girl segment is a direct marketer, retailer, and children's publisher dedicated to its mission to help girls grow up with confidence and character. American Girl is best known for its line of historical and contemporary characters that feature 18"" dolls, books, and accessories that inspire girls to face the world with courage, resilience, and kindness. The contemporary Truly Me and Create Your Own lines encourage girls to express their imaginations and creativity by choosing a doll.",1029002001
T3S223NJX7,2023-12-31,North America,North America segment markets and sells toys and consumer products in the United States and Canada across all of Mattel's categories.,1029002001
T3S223NJX7,2023-12-31,International,"International includes products marketed and sold by the International segment are generally the same as those marketed and sold by the North America segment, although some are developed or adapted for particular international markets. Mattel's products are sold directly to retailers and wholesalers in most European, Latin American, and Asian countries, in Australia and New Zealand, and through agents and distributors in those countries where Mattel has no direct presence.",1029002001
245JRQAXE2,2024-12-31,Sulfur services,"Sulfur services have developed an integrated system of transportation assets and facilities relating to sulfur services. They process and distribute sulfur produced by oil refineries primarily located in the Gulf Coast region of the U.S. They purchase and sell molten sulfur on contracts that are tied to sulfur indices to minimize margin fluctuations. They process molten sulfur into prilled or pelletized sulfur at their facility in Beaumont, Texas on contracts that traditionally provide guaranteed minimum fees.",1013001099
245JRQAXE2,2024-12-31,Terminalling and storage,"Terminalling and storage own or operate 12 marine shore-based terminal facilities and 8 specialty terminal facilities located primarily in the Gulf Coast region of the U.S. with aggregate storage capacity of 2.6 million barrels. They own one naphthenic lubricants refinery in Smackover, Arkansas with a capacity of 7,700 barrels per day, 0.3 million barrels of crude bulk storage and 0.6 million barrels of lubricant storage. Further, they own approximately 2.3 million barrels of underground storage capacity for NGLs.",3091004001
245JRQAXE2,2024-12-31,Transportation,"Transportation operate a fleet of both land transportation and marine transportation assets that transport petroleum products and by-products, petrochemicals, and chemicals. Their land transportation assets include approximately 600 trucks and 1,275 tank trailers which are based across 25 terminals strategically located throughout the U.S. Gulf Coast and southeastern U.S. Their marine transportation assets include 27 inland marine tank barges, 15 inland push boats and one articulated offshore tug and barge unit.",3091004002
245JRQAXE2,2024-12-31,Specialty products,"Specialty products own and operate facilities dedicated to both the blending and packaging of private label agricultural, automotive, and industrial lubricants, and the manufacture and packaging of commercial and industrial greases. They sell and distribute NGLs that they primarily purchase from refineries and natural gas processors. They store and transport NGLs for wholesale deliveries to industrial NGL users and propane retailers in the southeastern U.S.",3091005002
IWEQYZ5TE6,2024-11-30,Consumer,"Consumer segment manufactures, markets and distributes spices, herbs, seasoning mixes, condiments and other flavorful products throughout the world. Consumer segment sells to retail channels, including grocery, mass merchandise, warehouse clubs, discount and drug stores, and e-commerce under the McCormick brand and a variety of brands around the world, including French’s, Frank’s RedHot, OLD BAY, Lawry’s, Zatarain’s, Simply Asia, Thai Kitchen, Ducros, Vahine, Cholula, Schwartz, Club House, etc.",2052504001
Q6DSX7VOVQ,2024-12-31,Decorative Architectural Products,"Decorative Architectural Products segment includes paints and other coating products, paint applicators and accessories, lighting fixtures, ceiling fans, landscape lighting and LED lighting systems, and cabinet and other hardware.",3103001001
